Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
One step closer to sustainability? An explorative study analyzing the role of sustainability in the reshoring process at the micro- and macro-level,Julia Mayer,2021.0,Koen Frenken,Koen Beumer,"This study explores the relationship between sustainability and reshoring, a process where firms return production activities to the EU from non-EU countries. The research aims to analyze sustainability's role at both firm and supranational levels. Using a multiple case study design, the study examines two bicycle industry firms, one nearshoring and the other backshoring production. Data was collected through ten semi-structured interviews with experts. Findings reveal that sustainability was not a decisive factor in reshoring decisions, although certain sustainability-related opportunities and risks were identified, emphasizing the complexity of reshoring processes.",What is the role of sustainability at the firm- and supranational level when reshoring value creation activities to the EU?,12 - Responsible Consumption and Production,"The study addresses sustainability in reshoring processes, highlighting the environmental and social impacts of production location decisions.",European Union,Regional,Circular Economy & Production,"reshoring, backshoring, nearshoring, Sustainability, firm-level, EU-level, case study, bicycle industry",Qualitative Empirical Research,"Multiple case study, Semi-structured interviews","Transaction cost economics, Resource-Based View, OLI framework",,,EU,50.0,10.0,Broad,mayer_2021.pdf,mayer_2021.png,Matched,Europe,,
"SPORT EVENTS AND SUSTAINABILITY, A HAPPY MARRIAGE?",Maarten Andriessen,2021.0,Matthijs Punt,Christina Bidmon,"Over the last decades the importance of sustainability increased due to environmental concerns. The critical role of organisations was recognised in the transition to more sustainable circumstances, which led to different approaches to include all dimensions of sustainability equally. One of the most used and recognised approaches is corporate sustainability, which helps organisations to adopt sustainability throughout the whole organisation. To investigate the relation between sustainability and reputation the sport industry and in particular sport events are chosen as case(s). The following research question is answered during this study: How does the importance of sustainability topics in building a reputation differ across sport events and how do these topics relate to other essential topics? During this study corporate sustainability is used alongside with the concept of organisational reputation. To answer the research question, topic modelling is used, which is a quantitative method to analyse the qualitative data. This study contributes to the understanding of the relation between sustainability and organisational reputation.",How does the importance of sustainability topics in building a reputation differ across sport events and how do these topics relate to other essential topics?,12 - Responsible Consumption and Production,"The study focuses on the importance of sustainability in the sport industry, particularly in relation to reputation, which aligns with responsible consumption and production practices.",,,Social Justice & Equity,"Corporate Sustainability, Reputation, Topics, Categories, Sport Organisations, News and Media Organisations, & Sport Events.",Quantitative Empirical Research,Topic modelling,,,,,,,Broad,andriessen_2021.pdf,andriessen_2021.png,Matched,,,
The labour implications of genome editing in crops: How experts foresee jobs to be affected resulting from these revolutionary technologies,Winne Benschop,2021.0,Koen Beumer,Ellen Moors,"This thesis investigates the labour implications of genome editing technologies in crop production, focusing on expert expectations regarding job impacts. The research aims to identify how these revolutionary technologies may create, transform, or eliminate jobs across various sectors. Utilizing semi-structured interviews with 33 experts from developed and developing countries, the study reveals that genome editing is anticipated to affect employment significantly. New jobs are expected to emerge in technology development, while jobs in crop growing and processing may become obsolete. The findings highlight the need for strategies to support workers affected by these changes.",What labour implications do experts expect to occur due to crop genome editing?,8 - Decent Work and Economic Growth,"The research addresses the potential job creation and loss resulting from genome editing technologies, directly linking to the goal of promoting sustained, inclusive economic growth and decent work for all.",Global,Global/International,Energy & Climate,"genome editing, labour implications, CRISPR, job creation, job transformation, job substitution",Qualitative Empirical Research,Semi-structured interviews,Multi-Level Perspective,,,,,,Broad,benschop_2021.pdf,benschop_2021.png,Matched,Global,,
Managing dual business models: Structural separation strategies of incumbents in the energy and automotive sectors.,Luz Ariana Araoz Romero,2021.0,Christina Bidmon,,"The incumbents of the energy and automotive sector in Europe are facing discontinuous change. Sustainability transitions have created new markets that require the introduction of new business models that have the potential to substitute the established ones. This research aims to provide an understanding of the factors that illustrate the degree of structural separation by building a typology that highlights the structural separation strategies implemented by the studied sectors. A multiple case study design was used, analyzing 4 case studies from each sector. The analysis resulted in a typology revealing four separation strategies, indicating that energy incumbents prefer a stronger approach to separation than automotive incumbents.",What are the structural separation strategies implemented by incumbents in the energy and automotive sectors to adapt their business models to discontinuous change?,"9 - Industry, Innovation and Infrastructure",This SDG applies as the research focuses on the adaptation of business models in traditional industries to foster innovation and sustainability.,Europe,Regional,Energy & Climate,"structural separation, business models, energy sector, automotive sector, Sustainability transitions",Qualitative Empirical Research,"Multiple case study, Qualitative Content Analysis, Direct Content Analysis",Organisational Ambidexterity,,,Europe,54.526,15.2551,Broad,romero_2021.pdf,,Matched,Europe,,
THE RISE OF THE GLOBAL INTERNET SATELLITE MEGA-CONSTELLATION SECTOR opportunities and challenges for a sustainable transition,Alison Coyle,2021.0,Xiao-Shan Yap,Ellen Moors,"This thesis explores the emerging global internet satellite mega-constellation sector, focusing on its opportunities and challenges for a sustainable transition. The aim is to analyze the implications of this sector on sustainability and to identify pathways for its development. A qualitative empirical research methodology is employed, utilizing case studies and expert interviews to gather insights. The findings reveal significant potential for innovation and sustainability, but also highlight critical challenges related to space debris and regulatory frameworks.",What are the opportunities and challenges for a sustainable transition in the global internet satellite mega-constellation sector?,"9 - Industry, Innovation and Infrastructure","The research addresses the role of innovation in the satellite sector and its potential to enhance global connectivity, which aligns with the goal of building resilient infrastructure and promoting sustainable industrialization.",Global,Global/International,Energy & Climate,,Qualitative Empirical Research,"Case study, Expert interviews",,,,,,,Broad,coyle_2021.pdf,coyle_2021.png,Matched,Global,,
THE LEARNING COOPERATIVE,Bryan de Rond,2021.0,Jesse Hoffman,Marjanneke Vijge,"Renewable Energy Cooperatives are perceived as key players in the global energy transition. These cooperatives are governed with the use of policy instruments, the specific techniques, and tools used to reach desired outcomes, for example the percentage of renewable energy generated through civilian initiatives. Theory on the dynamics around these instruments emphasises their adoption through two main dynamics, supply and demand. This study aims to identify these mechanisms in order to contribute to a better understanding of policy adoption from a demand perspective. A qualitative research approach was used where both semi-structured interviews and grey literature have been analysed. The analysis showed that renewable energy communities employ several approaches to learn to work with and adopt the policy instruments governing them.",How do Renewable Energy Cooperatives adopt policy instruments from a demand perspective?,7 - Affordable and Clean Energy,"This SDG applies as the study focuses on the role of Renewable Energy Cooperatives in the energy transition, which is directly related to providing affordable and clean energy.",Netherlands,National,Energy & Climate,"Energy transition, Organisational Learning, Policy Adoption, Policy Instruments, Renewable Energy Cooperatives",Qualitative Empirical Research,Semi-structured interviews,Organisational Learning,,,Netherlands,52.243498,5.634323,Country,rond_2021.pdf,rond_2021.png,Matched,Netherlands,52.243498,5.634323
Small wins triggering the sustainability transition of the Dutch construction industry,Bram Reijnders,2021.0,Dr. Iris Wanzenböck,,"The Dutch construction sector faces significant challenges, including the need for sustainability and addressing a housing shortage. This research analyzes how small wins can facilitate the sustainability transition in this industry. Using a qualitative approach, sixteen initiatives were studied through interviews and desk research. Findings indicate that small wins, characterized by concrete outcomes and moderate importance, can lead to more radical changes. However, barriers such as market resistance and regulatory challenges hinder their development. The study concludes that small wins should operate locally to foster innovation and overcome existing barriers, ultimately amplifying the sustainability transition.",How can “small wins” amplify the sustainability transition of the Dutch construction industry?,11 - Sustainable Cities and Communities,"This SDG applies as the research focuses on sustainable practices within the construction industry, which is crucial for developing sustainable urban environments.",Netherlands,Local,Urban & Regional Development,"small wins, sustainability transition, Dutch construction industry, Multi-Level Perspective, qualitative research",Qualitative Empirical Research,"Interviews, Desk research, constant comparative method","Multi-Level Perspective, Small Wins",,,Netherlands,52.243498,5.634323,Country,reijnders_2021.pdf,reijnders_2021.png,Matched,Netherlands,52.243498,5.634323
Mental models of the drivers of fossil fuel investors’ voting behaviour on climate resolutions,Roos Wijker,2021.0,Karlijn van den Broek,,"This study investigates the mental models of institutional investors regarding their voting decisions on climate resolutions filed at Royal Dutch Shell in 2020. The research aims to understand the reasoning behind different voting behaviors, specifically in favor, against, or abstaining from the resolutions. Using causal cognitive mapping, the mental models of 23 investors were analyzed. Findings indicate that mental models differ significantly between investors who voted in favor and those who voted against or abstained, with varying perceived drivers influencing their decisions. The study highlights the importance of understanding these mental models to enhance shareholder activism and improve communication strategies for climate resolutions.","To what extent do mental models differ across institutional investors who vote in favour, vote against or vote abstain on climate resolutions for fossil fuel companies?",13 - Climate Action,"The study focuses on the role of institutional investors in supporting climate resolutions, which directly relates to mitigating climate change and achieving the targets set by the Paris Agreement.",Global,Global/International,Governance & Policy,"mental models, mental model comparison, decision-making, institutional investors, shareholder activism, climate resolutions",Mixed Methods Research,"Causal cognitive mapping, Quantitative analysis, descriptive analysis",,,Royal Dutch Shell,,,,Broad,wijker_2023.pdf,,Matched,Global,,
The role of public procurement in the transition of bio-based construction materials in The Netherlands,Simone Bader,2021.0,Simona Negro,,"The Netherlands have set the goal to have a 100% circular economy by the year 2050. This includes sustainable production and the use of renewable materials. The construction sector is one of the sectors where current processes cause a large amount of Greenhouse gas (GHG) emissions. Implementation of bio-based construction materials provides a possible solution for the reduction of the environmental footprint of the sector. The findings show that knowledge exchange, guidance of the search and resource mobilization form the main barriers in this transition. Therefore, it can be concluded that the transition can be accelerated focusing on market formation whereby the procurement process should adapt to a new approach of tendering.",How can the transition towards a circular construction sector by scaling up bio-based construction materials be accelerated in The Netherlands?,12 - Responsible Consumption and Production,This SDG applies as the research focuses on the implementation of bio-based materials to reduce environmental impact and promote sustainable production in the construction sector.,Netherlands,National,Circular Economy & Production,"biobased construction materials, public procurement, Circular Economy, sustainable innovations",Qualitative Empirical Research,Expert interviews,Technological Innovation Systems,Holland Houtland,,Netherlands,52.243498,5.634323,Country,bader_2021.pdf,bader_2021.png,Matched,Netherlands,52.243498,5.634323
Influence of philanthropic foundations on the norms for sustainability in the fashion industry,Eva Leferink,2021.0,Agni Kalfagianni,Thomas Bouwens,"This research examines how philanthropic foundations influence norms for sustainability in the fashion industry. The aim is to identify the sustainability norms supported by these foundations and the methods they use to diffuse these norms. A deductive qualitative content analysis was conducted through a comparative case study of five European foundations, supplemented by interviews and analysis of annual reports. The findings reveal that foundations primarily advocate for norms such as freedom of trade unions and gender equality, using knowledge sharing and collaboration as key diffusion methods. This study contributes to understanding the role of foundations as norm entrepreneurs in global sustainability governance.",How do philanthropic foundations influence fundamental norms for sustainability in the fashion industry?,12 - Responsible Consumption and Production,"The research focuses on sustainability norms in the fashion industry, which is known for its significant environmental and social impacts, aligning with the goal of responsible consumption and production.",Europe,Regional,Circular Economy & Production,"norms, norm diffusion, norm entrepreneurs, philanthropic foundations, private actors, Sustainability, sustainable fashion",Qualitative Empirical Research,"Qualitative content analysis, Comparative case study, Interviews",Norm Diffusion Theory,Schone Kleren Campagne / Clean Clothes Campaign,"Clean Clothes Campaign, Fair Wear Foundation, Fashion Revolution, H&M Foundation, C&A Foundation",Europe,54.526,15.2551,Broad,leferink_2021.pdf,leferink_2021.png,Matched,Europe,,
The contribution of patenting to a circular economy,Robin de Zwart,2021.0,Anne Rainville,Frank van Rijnsoever,"The concept of circular economy is one of the main solutions to achieve a sustainable future. However, while most countries have taken steps towards a circular economy, more progress needs to be made. Patenting activities on waste management technologies show promise to contribute to the transition towards a circular economy since patents indicate innovating and sharing knowledge. Therefore the contribution of patenting to circular economy progress needed to be analysed. To achieve this, this research has answered the research question: How does patenting in waste management contribute towards circular economy progress? This question is answered by comparing patent data to circular economy indicators resource efficiency and waste reduction. Results indicate, however, that on a global scale patents currently do not lead to circular economy progress. However, evidence has been found that under the right circumstances patents can contribute.",How does patenting in waste management contribute towards circular economy progress?,12 - Responsible Consumption and Production,"The research focuses on how patenting in waste management can enhance resource efficiency and waste reduction, which are key components of responsible consumption and production.",Global,Global/International,Circular Economy & Production,,Quantitative Empirical Research,"Correlation analysis, Regression analysis",,,,,,,Broad,zwart_2021.pdf,zwart_2021.png,Matched,Global,,
Collaborative governance in mission-oriented innovation policy: Lessons learned from the German High-Tech Strategy 2025,Pauline Brodner,2021.0,Iris Wanzenböck,,"This thesis investigates the implementation of collaborative governance in mission-oriented innovation policies (MOIP) through a comparative case study of two transformer missions in the German High-Tech Strategy 2025. The research aims to understand how collaborative governance can facilitate cross-disciplinary collaboration among various stakeholders to address grand societal challenges. The study employs semi-structured interviews with stakeholders involved in the missions, revealing that collaborative governance is essential for effective mission implementation. Key findings highlight the importance of early stakeholder inclusion, structured governance frameworks, and the need for time commitment in collaborative processes.",How can collaborative governance be implemented in transformer missions?,12 - Responsible Consumption and Production,"The research focuses on missions that aim to create sustainable circular economies and reduce plastic waste, directly addressing issues of resource consumption and environmental sustainability.",Germany,National,Circular Economy & Production,"Collaborative governance, mission-oriented innovation policy, High-Tech Strategy 2025, Germany, sustainable circular economies, plastic waste",Qualitative Empirical Research,"Semi-structured interviews, Comparative case study",Collaborative Governance,,,Germany,51.163818,10.447831,Country,brodner_2021.pdf,brodner_2021.png,Matched,Germany,51.163818,10.447831
Identifying the most feasible way to set up a living lab for food sustainability in the Netherlands,Thijs Gieben,2021.0,Jesús Rosales Carreón,Iris Wanzenböck,"Agricultural intensification, global climate change and a growing population are putting pressure on global food systems. The Netherlands plays a unique role in these systems because of its international hub of agricultural science, high agricultural productivity and responsibility for many negative effects of agricultural intensification. To achieve a transition to more sustainable agri-food systems, a living lab can help by providing an effective arena for cross-sector collaboration and experimentation. While academics argue for the use of living labs in fostering agri-food transitions, little research into this topic has been conducted. In this research, the feasibility of a living lab for agri-food transitions in the Netherlands was studied through a case study for the Sustainable Food Initiative (SFI). Desk research was used to construct a theoretical framework for the analysis of the feasibility of an agri-food transition living lab. Semi-structured interviews with SFI network partners were conducted to provide empirical data on stakeholder’s views on the SFI living lab and the concepts from the theoretical framework. Hybrid thematic analysis was used to analyse the data, resulting in themes that were deduced from the conceptual framework and induced from the data. The analysis shows that there are both strong differences and strong similarities along the respondents’ views on an SFI living lab. Most importantly, the results show that SFI network actors are interested and see the added value of a network with various actors from the value chain, experimentation in real-life settings and the use of co-creation. However, they struggle to see the role of the SFI in this, do not see the added value of involving citizens and governmental organisations as stakeholders and indicate that there is a lack of examples. Additionally, there is ambiguity regarding the definition, goal and organisation of an SFI living lab. These issues and some of the differences – amongst actors themselves and between actors’ views and theoretical feasibility – need to be addressed in order to maximise the feasibility of an SFI living lab. To aid in this process, this research provides 28 recommendations for the SFI to adhere to when setting up a living lab.",What is the most feasible way for the SFI to set up a living lab for agri-food transitions in the Netherlands?,12 - Responsible Consumption and Production,"The research focuses on establishing a living lab to promote sustainable food systems, which directly relates to responsible consumption and production practices.",Netherlands,National,Circular Economy & Production,"living lab, agri-food transition, agri-food system, agriculture, Innovation, transition theories, feasibility, agroecosystems, Sustainability, food, Sustainable Food Initiative",Qualitative Empirical Research,Semi-structured interviews,,Sustainable Food Initiative,,Netherlands,52.243498,5.634323,Country,gieben_2021.pdf,,Matched,Netherlands,52.243498,5.634323
"TRANSITION-RISK AND OPPORTUNITY FOR CAPTURING AND STORING CO2 A qualitative assessment of transition risk and opportunity for CCS and BECCS in the EU, focussing on cases in the Netherlands and United Kingdom.",Matthias van Goor,2022.0,Martin Junginger,Elena Fumagalli,"This thesis explores the transition risks and opportunities associated with Carbon Capture and Storage (CCS) and Bioenergy with Carbon Capture and Storage (BECCS) in the European Union, specifically focusing on case studies from the Netherlands and the United Kingdom. The aim is to qualitatively assess how these technologies can contribute to climate goals while identifying potential risks involved in their implementation. The methodology includes expert interviews and a case-study approach to gather insights from stakeholders. The findings indicate that while CCS and BECCS present significant opportunities for reducing carbon emissions, they also face challenges related to policy, public acceptance, and economic viability.",What are the transition risks and opportunities for Carbon Capture and Storage (CCS) and Bioenergy with Carbon Capture and Storage (BECCS) in the EU?,13 - Climate Action,This research directly addresses climate action by evaluating technologies that can mitigate carbon emissions and contribute to achieving climate targets.,"Netherlands, United Kingdom",Regional,Energy & Climate,"CCS, BECCS, transition risk, transition opportunity, EU, Netherlands, United Kingdom",Qualitative Empirical Research,"Expert interviews, Case study",,,,Netherlands,52.243498,5.634323,Country,goor_2022.pdf,goor_2022.png,Matched,Netherlands; United Kingdom,52.243498|54.702354,5.634323|-3.276575
Modes of Governance to Accelerate the Transition Towards a Circular Construction Sector: A Critical Assessment,Dorien Kuipers,2021.0,Dr. J. Rosales Carreon,Dr. W. Vermeulen,"The built environment has a negative impact on the natural environment. Circular economy (CE) is seen as a promising approach to reduce this environmental impact, as it facilitates the achievement of sustainable material streams. This study aims to provide an advanced understanding of how the Dutch governance can successfully facilitate the transition towards a circular construction sector in the Netherlands. A conceptual model is developed to study the influence of governance modes on the transition towards circularity. An analysis is presented using unstructured interviews and desk research. Recommendations are provided to accelerate the transition, including enlarging the powerbase, consulting experts, and developing a method to calculate circularity performance.",How can Dutch governance successfully facilitate the transition towards a circular construction sector?,12 - Responsible Consumption and Production,"The research focuses on the transition towards a circular construction sector, which directly relates to sustainable material use and reducing environmental impacts, aligning with SDG 12.",Netherlands,National,Circular Economy & Production,"Circular Economy, circular construction, triple embeddedness framework, environmental governance, modes of governance, drivers and barriers of shifts",Qualitative Empirical Research,"Interviews, Desk research","Triple Embeddedness Framework, Environmental Governance",De Groene Jongens,,Utrecht,52.243498,5.634323,City,kuipers_2021.pdf,kuipers_2021.png,Matched,Netherlands,52.243498,5.634323
Dealing with an identity threat: Porsche and the transition to electric mobility,Marcelo Brull,2021.0,Christina Bidmon,,"Due to sustainable transitions, industries and organizations across the globe need to transform and align their product offerings and business practices with more environmentally friendly and socially accepted ways of operating. This longitudinal study explains how an incumbent organization deals with an identity threat caused by a sustainable transition in its external communication, specifically analyzing Porsche and the transition to electric mobility. The study used Porsche’s external communication and interviews with Porsche’s senior executives from 2005 to 2020. The findings demonstrate that Porsche maintains three corporate identity sub-elements and changes five, creating an impression that Porsche is changing while remaining the same to balance different stakeholder interests.",How does Porsche deal with the identity threat caused by the transition to electric mobility in its external communication?,"9 - Industry, Innovation and Infrastructure","The study focuses on how an incumbent organization like Porsche innovates and transforms its identity in response to sustainable transitions, which aligns with fostering innovation and sustainable industrialization.",Global,Global/International,Energy & Climate,,Qualitative Empirical Research,"Interviews, Case study",,,Porsche,,,,Broad,brull_2021.pdf,brull_2021.png,Matched,Global,,
Life Cycle Assessment of reusable and single-use meal container systems,Timo Verburgt BSc,2021.0,"Blanca Corona Bellostas, Patricia Megale Coelho",Ernst Worrell,"The use of single-use packaging has increased significantly over the past decades, particularly in the food delivery and take-away sector. This research aims to evaluate the environmental impacts of reusable and single-use meal container systems using Life Cycle Assessment (LCA). The study compares the environmental burdens associated with different configurations of meal containers made from various materials. Results indicate that reusable systems can be environmentally preferred, provided that they are implemented with environmentally preferable configurations. However, high return rates and efficient cleaning methods are crucial for achieving lower environmental impacts compared to single-use systems.",How do food delivery and take-away systems with reusable and single-use meal containers with different configurations compare from an environmental life cycle perspective in Belgium and the Netherlands?,12 - Responsible Consumption and Production,"This research addresses the environmental impacts of packaging in the food delivery sector, promoting the transition from single-use to reusable systems in line with sustainable consumption practices.","Belgium, Netherlands",Local,Circular Economy & Production,"Packaging, Meal container, Reuse, Circular Economy (CE), Life Cycle Assessment (LCA), Environmental break-even point, Return rate","Literature-Based Research, Qualitative Empirical Research",Life Cycle Assessment,Circular Economy,Recycling Netwerk Benelux,,Belgium,50.640281,4.666715,Country,verburgt_2021.pdf,verburgt_2021.png,Matched,Belgium; Netherlands,50.640281|52.243498,4.666715|5.634323
Organizational legitimacy as an incentive for companies to set science-based targets and shape a more attractive investor profile,Hanneke A.A. van Haeff,2021.0,Dr. Rakhyun E. Kim,Prof. dr. Hens A.C.R. Runhaar,"Nature loss is an unprecedented global challenge, and pressure continues to increase. Public target setting instruments have emerged to facilitate the transformations necessary to restore our nature. This study aims to provide visibility on the overall effectivity of and driving forces behind science-based targets by linking it to two performance variables of companies: organizational legitimacy, and investor’s willingness to invest. Using qualitative research design, interviews were conducted among institutional investors. The study finds support for a relationship between companies that set science-based targets, organizational legitimacy, and investor’s willingness to invest, highlighting the role of transparency, risk mitigation, and data-driven accountability.",What is the overall effectivity of science-based targets in relation to organizational legitimacy and investor’s willingness to invest?,15 - Life on Land,This SDG applies as the study focuses on nature loss and the role of companies in setting science-based targets to mitigate their environmental impact.,Global,Global/International,Circular Economy & Production,"science-based targets, organizational legitimacy, investor profile, environmental impact, qualitative research",Qualitative Empirical Research,Interviews,,,,,,,Broad,haeff_2021.pdf,haeff_2021.png,Matched,Global,,
The Diffusion of Sustainable Product Service Systems: A systems perspective of e-bikes,Ryanne Pisa,2021.0,Giovanna Capponi,Matthijs Punt,"This thesis explores the diffusion of sustainable product service systems, specifically focusing on e-bikes. The aim is to understand the factors influencing the adoption and spread of e-bikes as a sustainable transportation option. A qualitative empirical research methodology was employed, utilizing interviews and data analysis to gather insights. The findings reveal key barriers and enablers affecting the diffusion process, highlighting the importance of consumer awareness and infrastructure development in promoting e-bike usage.","What are the key factors influencing the diffusion of sustainable product service systems, specifically e-bikes?",11 - Sustainable Cities and Communities,"The research addresses sustainable transportation solutions, contributing to the development of sustainable urban environments through the promotion of e-bikes.","Utrecht, Netherlands",Local,Energy & Climate,"Sustainable Product Service Systems, e-bikes, diffusion, sustainable transportation",Qualitative Empirical Research,"Interviews, Data analysis",,TNO,,Utrecht,52.090701,5.121563,City,pisa_2021.pdf,pisa_2021.png,Matched,Netherlands,52.090701,5.121563
The Dutch Mobility Transition: An Assessment of Governance Factors Contributing to Successful Implementation of MaaS in The Netherlands,Steven Strikkers,2020.0,Matthijs Janssen,J.C.M Farla,"This thesis explores the governance factors influencing the successful implementation of Mobility as a Service (MaaS) in the Netherlands. The aim is to analyze seven MaaS pilots to derive insights for national implementation. A qualitative research methodology is employed, utilizing interviews and document analysis to gather data. The findings reveal key governance challenges and opportunities that can facilitate the broader adoption of MaaS, highlighting the importance of collaboration among stakeholders.",What governance factors contribute to the successful implementation of Mobility as a Service in the Netherlands?,11 - Sustainable Cities and Communities,"The research focuses on improving urban mobility through innovative governance solutions, aligning with the goal of making cities inclusive, safe, resilient, and sustainable.",Netherlands,National,Governance & Policy,"Mobility as a Service, Governance, Netherlands, Qualitative Research, Implementation",Qualitative Empirical Research,"Interviews, Document analysis",,,,Netherlands,52.243498,5.634323,Country,strikkers_2020.pdf,strikkers_2020.png,Matched,Netherlands,52.243498,5.634323
Circular business models and packaging through the supply chain: a Chilean wine industry case study,Claudia Stuckrath,2020.0,Dr J. Rosales Carreon,Dr W.J.V. Vermeulen,"Chile has shown the ambition to position itself as a leader in producing sustainable wines. A National Sustainability Code and the Extended Producer Responsibility (EPR) law were implemented in the last two decades. However, none of them properly addresses the waste generation for packaging through the supply chain. Circular business models (CBMs) have been studied as a possibility to reduce waste generation. This research aims to study the amount of packaging waste generation that CBMs can reduce through the supply chain. To quantify packaging through the supply chain, primary, secondary and tertiary packaging were studied using a Material Flow Analysis. The total waste that CBM could reduce is 81% from 89.610 to 16.747 ton per year which is mainly explained by increasing the returnability of glass bottles and pallets by seven times.",How can circular business models reduce packaging waste generation in the Chilean wine industry?,12 - Responsible Consumption and Production,This SDG applies as the research focuses on reducing packaging waste generation through the implementation of circular business models in the wine industry.,Chile,National,Circular Economy & Production,"Circular Business Model, Packaging, Wine Industry, Material Flow Analysis, Waste Reduction",Qualitative Empirical Research,"Material Flow Analysis, Expert interviews",Circular Economy,,,Chile,-31.761336,-71.31877,Country,stuckrath_2020.pdf,,Matched,Chile,-31.761336,-71.31877
Unpacking the potential of the zero-waste movement,Samuel Fry,2020.0,Laura Piscicelli,,"This thesis explores the potential of the zero-waste movement, focusing on the level of support for mainstream zero-waste retail from the perspective of key actors. The aim is to assess the challenges and opportunities faced by zero-waste retailers in the current market. A qualitative methodology is employed, utilizing case studies and interviews with stakeholders in the zero-waste sector. The findings reveal significant obstacles such as convenience and market dynamics, but also highlight positive consumer trends and the potential for growth in the zero-waste retail space.",What is the level of support for mainstream zero-waste retail from the perspective of key actors?,12 - Responsible Consumption and Production,The zero-waste movement directly contributes to sustainable consumption and production patterns by promoting waste reduction and resource efficiency.,Global,Global/International,Circular Economy & Production,,Qualitative Empirical Research,"Case study, Interviews",,,,,,,Broad,fry_2020.pdf,fry_2020.png,Matched,Global,,
Digital Platforms for Industrial Symbiosis,Pim Krom,2020.0,Koen Frenken,,"Industrial Symbiosis (IS) describes the mutually profitable transactions between traditionally separate industries by exchanging secondary resources and is one of the strategies in achieving a circular economy (CE). This research aims to fill the gap in understanding how to establish a digital platform to support IS among local businesses in Norway. Through interviews with organizations at Norwegian industrial parks and existing IS platforms in the Netherlands, a minimum viable platform (MVP) is constructed. The findings indicate that starting with asset sharing can reduce co-innovation risk and that collaboration with industrial network organizations is crucial for securing a critical mass of users. Governmental support is necessary for the initial investment.",How can a digital platform be established to support industrial symbiosis among local businesses in Norway?,12 - Responsible Consumption and Production,"The research focuses on establishing a digital platform that facilitates the exchange of secondary resources, contributing to more sustainable production and consumption patterns.",Norway,Local,Circular Economy & Production,"Industrial Symbiosis, Digital Platforms, Circular Economy, Minimum Viable Platform, Norway",Qualitative Empirical Research,Interviews,"Industrial Symbiosis, Digital Platforms, Innovation Ecosystems",SINTEF,,Norway,61.152939,8.787665,Country,krom_2020.pdf,krom_2020.png,Matched,Norway,61.152939,8.787665
Joint efforts for circular food packaging: How focal firms find and set-up collaborations for reusable and recyclable food packaging,Joana Kleine Jäger,2020.0,Dr. Laura Piscicelli,Dr. Matthijs Janssen,"This research investigates the collaboration set-up and partner selection for reusable and recyclable food packaging within a Circular Economy. The aim is to analyze how food firms can establish successful collaborations to enhance circularity in food packaging. An explorative methodology was employed, involving 17 semi-structured qualitative interviews with various stakeholders in the food packaging sector. The findings reveal four types of collaboration and a nine-step collaboration set-up process, along with specific partner characteristics essential for successful partnerships. This research provides valuable insights for food companies seeking to implement circular food packaging solutions.",How can focal food firms effectively establish collaborations for reusable and recyclable food packaging?,12 - Responsible Consumption and Production,This research addresses the significant waste generated by food packaging and explores collaborative approaches to enhance sustainability in packaging practices.,Global,Global/International,Circular Economy & Production,"Circular Economy, reusable food packaging, recyclable food packaging, cross-chain collaboration, collaboration set-up, partner selection",Qualitative Empirical Research,"Semi-structured interviews, Thematic analysis",,Circle Economy,,,,,Broad,jager_2020.pdf,jager_2020.png,Matched,Global,,
"Relations between business model archetypes, degrees of hybridity and levels of success: A study on surplus food redistribution initiatives in the Netherlands",Piet Trompert,2020.0,Laura Piscicelli,,"In our current food systems, about one-third of the produced food is wasted. This food waste has a severe negative impact on our environment. Various surplus food redistribution initiatives have started to address these problems by redistributing food that would otherwise be wasted. This thesis aims to identify and categorize the business model archetypes of surplus food redistribution initiatives in the Netherlands, determine their degree of hybridity, establish their level of success, and explore the relationships between these factors. A mixed-method design was employed, including qualitative and quantitative analyses. The findings indicate four different business model archetypes and support the existence of a relationship between archetypes and success.","What is the relationship between Dutch surplus food redistribution initiatives’ 1) operational business model archetypes, 2) degrees of hybridity, 3) and levels of success in tackling the issue of food waste?",12 - Responsible Consumption and Production,"This SDG applies as the research addresses food waste, a significant issue in sustainable consumption and production patterns.",Netherlands,National,Circular Economy & Production,,Mixed Methods Research,"Desk-research, Survey",,,,Netherlands,52.243498,5.634323,Country,trompert_2020.pdf,trompert_2020.png,Matched,Netherlands,52.243498,5.634323
