Title,Author(s),Year,Master Track,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
UNDERSTANDING MODIFIABLE AERIAL UNIT PROBLEM IN FOREST AREA ASSESSMENTS: A MULTI-DATASET APPROACH FOR RELIABLE SDG INDICATOR REPORTING,Archontoula Tsakona,2025.0,,Dr. Britta Ricker,Dr. Sietze Norder,"Forests provide critical ecosystem services and support the livelihoods of millions. Protecting forests is essential, as highlighted by the UN's Sustainable Development Goal 15, which focuses on conservation and sustainable management. This research explores the impact of dataset selection and spatial scale on forest area reporting, particularly the Modifiable Areal Unit Problem (MAUP). By testing two datasets from Japan and the University of Maryland, the study reveals significant discrepancies in forest area estimates across administrative boundaries. The findings emphasize the importance of data selection for reliable SDG reporting and inform localized policy development for sustainable forest management.",How does the selection of datasets and spatial scale affect the interpretation and reporting of forest area in relation to the Modifiable Areal Unit Problem (MAUP) for Sustainable Development Goals (SDGs)?,15 - Life on Land,"This SDG applies as the research focuses on the conservation and sustainable management of terrestrial ecosystems, specifically forests, which are critical for biodiversity and ecosystem services.","Netherlands, Zimbabwe, Paraguay, Aruba",Global/International,Ecology & Biodiversity,,Mixed Methods Research,"Data analysis, GIS Post-Processing, Thematic cartography",,,,Netherlands,52.243498,5.634323,Country,Abstract too short,tsakona_2025.pdf,tsakona_2025.png,Matched,Netherlands; Zimbabwe; Paraguay,52.243498|-18.455496|-23.316593|12.501363,5.634323|29.746841|-58.169345|-69.961848
Towards a zero-waste UU: streamlining Hazardous Waste,Johannes Konstantin Petry,2025.0,Energy & Materials,Dr. Li Shen,Prof. dr. Ernst Worrell,"Utrecht University aims to become a zero-waste institution, yet hazardous waste poses significant challenges. This research aimed to enhance hazardous waste management and reduce greenhouse gas emissions at the university. A material flow analysis for 2023 identified 126,979 kg of hazardous waste, primarily incinerated, with the Faculty of Science and Faculty of Veterinary Medicine as major contributors. A GHG assessment estimated emissions of 177,535 kg CO2, highlighting hazardous waste's substantial impact. Recommendations for mitigation include short-term awareness campaigns and long-term strategies like green chemistry and circular procurement. The study underscores the need for improved waste reduction and monitoring.",How can Utrecht University improve its hazardous waste management to align with its zero-waste goals?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on improving hazardous waste management and reducing environmental impacts, aligning with sustainable consumption and production patterns.","Utrecht University, Netherlands",Local,Circular Economy & Production,"Hazardous Waste, Material Flow Analysis, Greenhouse Gas Emissions, Circular Economy, Utrecht University","Qualitative Empirical Research, Quantitative Empirical Research","Material Flow Analysis, GHG Calculations, Stakeholder interviews, Desk research","Circular Economy, Waste Hierarchy, Material Flow Analysis, Screening LCA",,"Utrecht University, Renewi",Utrecht,52.094234,5.121188,City,Abstract too short,petry_2025.pdf,petry_2025.png,Matched,Netherlands,52.094234,5.121188
Towards modelling the cultural evolution of sustainable societies.,Tim Zandee,2025.0,,Dr. Robert Harmsen,Dr. Javanshir Fouladvand,"This thesis examines the cultural evolution of sustainable societies by integrating perspectives from multilevel cultural selection, social metabolism and commons research. It explores how institutional arrangements shape socio-metabolic patterns and how cultural selection mechanisms may contribute to the emergence of sustainable collective behaviours. Agent-based modelling is employed through two complementary models to investigate these dynamics. The findings suggest that institutional design plays an important role in shaping socio-metabolic strategies, with groups adhering to governance structures aligned with Ostrom’s design principles more likely to sustain cooperative behaviours. This research contributes to a broader understanding of the factors influencing the emergence of sustainable societies.",,,,,,,"Multilevel cultural selection, Social metabolism, Institutional design principles, Energy commons, Agent-based modelling",Modelling & Systems Approaches,Agent-based modelling,Multilevel (cultural) selection theory,,,,,,,"Missing Research Question, Missing SDG",zandee_2025.pdf,zandee_2025.png,Matched,,,
Exploring Conditions for Success of Community Forest Management Institutions,Esmee Zuurbier,2025.0,"Politics, Ecology and Society",Dr. Anna Duden,Dr. ir. Mariska te Beest,"Community-based Forest Management (CFM) can be seen as a solution for both global ecological issues and local human welfare. This research aimed to identify the specific social and ecological factors influencing the success of CFM institutions. Utilizing data from 47 CFM institutions, the study assessed their alignment with the Ostrom Principles. The findings indicated no statistically significant influence of the identified indicators on the success of CFM institutions, although methodological limitations suggest caution in this conclusion. The research provides insights for stakeholders to enhance management practices in accordance with the Ostrom Principles.",What are the specific social and ecological factors influencing the success of Community Forest Management institutions?,15 - Life on Land,This SDG applies as the research focuses on sustainable management of forests and the preservation of terrestrial ecosystems.,"Africa, Asia, and Latin America",Global/International,Ecology & Biodiversity,"Community-based Forest Management, Social-Ecological Systems, Design principles for managing the commons",Quantitative Empirical Research,Statistical analysis,Ostrom's Principles,,,,,,Broad,Abstract too short,zuurbier_2025.pdf,zuurbier_2025.png,Matched,Multi-region,,
How Root Trait Dissimilarity Mediates Plant–Plant Interactions Under Drought and Nutrient Enrichment: A Greenhouse Experiment on Native Grassland Species,Daan Vos,2025.0,Environmental Change and Ecosystems,Benjamin Delory,Jerry van Dijk,"This study investigates how root trait dissimilarity influences plant–plant interactions under varying resource conditions, specifically drought and nutrient enrichment. The aim is to assess the effectiveness of the root economics space (RES) framework in predicting these interactions. A greenhouse experiment was conducted with paired native grassland species, measuring root traits and their dissimilarity. Results indicate that while the RES captures significant trait variation, dissimilarity does not consistently predict interaction outcomes, with nutrient enrichment being the primary driver of community productivity. The findings suggest a need for holistic trait frameworks that consider both above- and belowground processes.",How does root trait dissimilarity mediate plant–plant interactions under drought and nutrient enrichment?,15 - Life on Land,"This research contributes to understanding plant interactions and ecosystem health, which are crucial for maintaining biodiversity and sustainable land use.",Global,,Ecology & Biodiversity,"niche diTerentiation, functional traits, trait dissimilarity, plant–plant interactions, root economics space, resource context",Qualitative Empirical Research,"Greenhouse experiment, principal component analysis, Euclidean distance analysis",,,,,,,Broad,Abstract too short,vos_2025.pdf,vos_2025.png,Matched,Global,,
Unravelling the biodegradability of novel epibenthic ecosystem restoration structures and its effect on sediment dynamics in salt marshes,Mart Wester Boersma,2025.0,Environmental Change and Ecosystems,"Peter Vodegel, Karin Didderen, Malenthe Teunis",Dr. Ir. Benjamin Delory,"Salt marshes play an important role in carbon sequestration, habitat provision to marine life and coastal protection, but are degrading because of land use and climate change. This study focused on the biodegradation of restoration structures made of PHA, PLA and PBS biopolymers. The five-month experiment took place on the Dutch salt marsh the Dortsman, located in Zeeland, the Netherlands. PHA restoration structures showed a large decrease in strength, while PLA and PBS structures showed an increase in strength after three months. Hexagonal and rectangular restoration structures perform equally at trapping sediment on a structure-scale, but hexagonal structures retained more sediment at a spatial arrangement-scale. This study found that PHA restoration structures biodegraded quickly, highlighting the need for further research.",How does the biodegradability of novel epibenthic ecosystem restoration structures affect sediment dynamics in salt marshes?,14 - Life Below Water,"This research addresses the restoration of salt marshes, which are crucial for marine ecosystems and biodiversity, thus contributing to the sustainability of life below water.","Zeeland, Netherlands",Local,Ecology & Biodiversity,"Ecosystem Restoration, Biodegradation, Sediment Dynamics, Restoration Structures, BESE-elements",Qualitative Empirical Research,"Biodegradation Experiment, Sediment Stabilization Field Experiment",,,,Zeeland,51.416297,3.702806,Region,,boersma_2025.pdf,boersma_2025.png,Matched,Netherlands,51.416297,3.702806
Culture in Motion: Exploring the Social Acceptability of Shared Mobility and the Influence of Cultural Dimensions (HCDs),Dorine Janneke Bezema,2025.0,Earth Systems Governance,Dr. Heleen Mees,Dr. Julia Tschersich,"As cities face growing spatial and environmental challenges, shared mobility emerges as a sustainable alternative to private car ownership. However, while infrastructural and socio-demographic barriers have been widely researched, the cultural influences on the acceptability of shared mobility remains underexplored. This study investigates how Hofstede’s cultural dimensions influence the social acceptability of shared mobility in Overvecht, Utrecht. Through a mixed-methods approach, quantitative data were collected through a survey measuring perceived acceptability and cultural dimension scores, complemented by qualitative insights from interviews. Findings show that shared mobility is viewed as moderately acceptable, with availability and affordability as key determinants. Cultural dimensions significantly influence perceptions, highlighting the importance of awareness and tailored strategies for diverse cultural groups.","How do Hofstede’s cultural dimensions influence the social acceptability of shared mobility in the multicultural district of Overvecht, Utrecht?",11 - Sustainable Cities and Communities,"This study addresses the social acceptability of shared mobility, which is crucial for developing sustainable urban transport solutions that can reduce reliance on private car ownership and enhance community engagement.","Overvecht, Utrecht",Local,Urban & Regional Development,,Mixed Methods Research,"Survey, Interviews",Hofstede’s Cultural Dimensions,Gemeente Utrecht,"Dott, Greenwheels, MyWheels, Buurtteam Overvecht",Utrecht,52.120541,5.109637,City,,bezema_2025.pdf,bezema_2025.png,Matched,Netherlands,52.120541,5.109637
"Children’s Nature Connectedness and Environmental Education in Crete, Greece",Philip Duzdabanian,2025.0,,Sietze Norder,,"This study assessed Nature Connectedness in participants aged 10 to 12 in an eight-week Environmental Education outdoor program at five public primary schools in Chania, Crete, in Greece. Nature Connectedness was assessed through surveys adapted from the Connectedness to Nature Index and the Inclusion of Nature in Self Scale. A comparison of baseline and post-intervention scores assessed the impact of the intervention on Nature Connectedness. Nature Exposure was examined in relation to Nature Connectedness, as green spaces within a 600-meter radius of the schools through Normalized Difference Vegetation Index analysis, as well as self-reported frequency of outdoor activities, and distance to the sea. The study explored the relationship of social context and type of activities to Nature Connectedness.",Is nature connectedness (NC) affected by the environmental education (EE) intervention?,4 - Quality Education,"This study promotes quality education by assessing the impact of environmental education on children's nature connectedness, which is essential for fostering pro-environmental attitudes and behaviors.","Chania, Greece",Local,Education & Climate,"Nature Connectedness, Environmental Education, Children, Greece, Outdoor Activities",Qualitative Empirical Research,Survey,Biophilia Hypothesis,Local Green Heroes,,Chania,35.512083,24.019154,City,,duzdabanian_2025.pdf,duzdabanian_2025.png,Matched,Greece,35.512083,24.019154
"Influence of Fire Regimes on Subtropical Grasslands in Bardia National Park, Nepal",Femke Boyd,2025.0,Environmental Change and Ecosystems,Pita Verweij,Jasper Griffioen,"The open grasslands of Bardia National Park in Nepal are critical habitats for several endangered species, yet they are increasingly threatened by the encroachment of woody vegetation. This thesis investigates how fire regimes shape vegetation structure and species composition in Bardia’s subtropical grasslands. A Sentinel-2 burn-detection model was developed, achieving 92 percent accuracy. Vegetation structure showed consistent responses across the fire gradient, with canopy height and bulk density declining with fire frequency. The findings suggest that a fire regime with frequent and well-timed burns helps maintain the open structure of Bardia’s disturbance-climax grasslands, highlighting the importance of sustainable fire management.",How do fire regimes shape vegetation structure and species composition in the subtropical grasslands of Bardia National Park?,15 - Life on Land,"This SDG applies as the research focuses on the conservation of grassland ecosystems and the species that depend on them, addressing the threats posed by changing fire regimes.","Bardia National Park, Nepal",Local,Ecology & Biodiversity,"fire regimes, subtropical grasslands, Bardia National Park, vegetation structure, species composition",Mixed Methods Research,"Sentinel-2 burn-detection model, vegetation sampling, fire mapping",Intermediate Disturbance Hypothesis,National Trust for Nature Conservation Bardia,,Bardia National Park,28.208294,83.988834,Broad,,boyd_2025.pdf,boyd_2025.png,Matched,Nepal,28.208294,83.988834
"Impact of electricity storage systems for corporate buildings in terms of reducing grid reliance, space, costs, and circularity. A case study for Achmea",Ole Walraven,2025.0,Energy & Materials,Wina Crijns-Graus,Wen Liu,"This thesis investigates the impact of various electricity storage systems (ESS) on reducing grid reliance for corporate buildings, specifically focusing on Achmea's campus-like sites. The aim is to assess the performance, space requirements, costs, and circularity of different ESS technologies by 2030. A mixed-methods approach is employed, combining technical simulations with expert interviews. The findings indicate that battery energy storage systems (BESS) are the most viable solution for achieving energy neutrality, significantly reducing grid dependency while optimizing space and costs.","What is the impact of different electricity storage system (ESS) technologies on reducing grid reliance at campus- like sites by 2030, and which system is the most suitable in terms of performance, space requirements, costs, and circularity?",7 - Affordable and Clean Energy,This research aligns with SDG 7 as it focuses on enhancing energy efficiency and promoting the use of renewable energy sources through the implementation of electricity storage systems.,Netherlands,National,Energy & Climate,"electricity storage systems, grid reliance, corporate buildings, Achmea, energy neutrality, battery energy storage systems",Mixed Methods Research,"Technical simulations, Expert interviews",,Achmea,Achmea,,52.243498,5.634323,Broad,Abstract too short,walraven_2025.pdf,walraven_2025.png,Matched,Netherlands,52.243498,5.634323
Strengthening Mangrove Nature-based Solutions: A Comparative Case Study Analysis,Janneke van Ree,2025.0,,Dr. Annisa Triyanti,Dr. ir Dries Hegger,"Coastal regions are increasingly exposed to sea-level rise, erosion, and extreme weather, threatening the livelihoods, safety, and ecosystems of nearly 40% of the global population. Mangrove forests, as Nature-based Solutions (NbS), can protect shorelines, store carbon, support biodiversity, and sustain livelihoods. This thesis asks: To what extent does governance capacity influence the ability to address implementation challenges in mangrove NbS for coastal resilience? A comparative case study was conducted of two high-profile initiatives: Mangroves and Markets (MAM) in Vietnam and Building with Nature (BwN) in Indonesia. Findings show that governance capacity is an interconnected system rather than isolated attributes. Effective mangrove NbS governance requires aligned capacities across all three dimensions, creating reinforcing feedback loops rather than isolated strengths.",To what extent does governance capacity influence the ability to address implementation challenges in mangrove NbS for coastal resilience?,13 - Climate Action,"The research addresses the governance challenges of mangrove nature-based solutions, which are critical for enhancing coastal resilience against climate change impacts such as sea-level rise and extreme weather events.","Vietnam, Indonesia",Global/International,Ecology & Biodiversity,"Nature-based Solutions, Governance Capacity, Coastal Resilience, Mangroves, Comparative Case Study",Qualitative Empirical Research,"Document analysis, Semi-structured interviews",Governance Capacity Framework,,"Mangroves, Markets, Building with Nature",Vietnam,15.926666,107.965086,Country,,ree_2025.pdf,ree_2025.png,Matched,Vietnam; Indonesia,15.926666|-2.483383,107.965086|117.890285
The Influence of Power on the Social Acceptance of Renewable Energy - A Case Study Analysis,Madelief van Pelt,2025.0,,Dr. James Patterson,Dr. Julia Tschersich,"This research explores the role of power in the social acceptance of renewable energy, using Windpark Zeewolde as a case study. The study employs a qualitative case study methodology, combining document analysis with 20 semi-structured interviews with stakeholders. Findings show that power dynamics significantly influenced the park’s social acceptance, revealing elements of domination, collaboration, and empowerment. The study emphasizes the need to integrate power in social acceptance studies, as it can shape participation and perceived fairness. Future research should examine the long-term social effects of renewable energy projects, particularly regarding the unequal distribution of financial benefits.",How does power influence the social acceptance of renewable energy projects?,,,"Flevoland, Netherlands",Local,Energy & Climate,,Qualitative Empirical Research,"Document analysis, Semi-structured interviews","Social Acceptance Framework, Power Over, Power With, Power To",,Windpark Zeewolde,Flevoland,52.448437,5.42354,Region,"Missing SDG, Abstract too short",pelt_2025.pdf,pelt_2025.png,Matched,Netherlands,52.448437,5.42354
Future of Carbon-Neutral Aviation: Synthetic Aviation Fuel Potential for Singapore Airlines,Marco Bijkerk,2025.0,Energy & Materials,Hamed Aslannejad,Vinzenz Koning,"Aviation brought unimaginable wealth to the world over the past century. However, the sector’s negative impact has come under increasing scrutiny. It remains heavily dependent on fossil fuels, and alternatives are not ready. Therefore, this research explores a hydrogen-based fuel for its compatibility with current hardware without the drawback of fossil fuels. Some airliners take more ambitious steps to decarbonize—Singapore Airlines among the most proactive. This research aims to answer the question: What are the opportunities and challenges for synthetic aviation fuel for Singapore Airlines produced in the Singaporean industrial environment? The research is divided into four phases, focusing on technical shortcomings, potential CO reduction, challenges, and required investments.",What are the opportunities and challenges for synthetic aviation fuel for Singapore Airlines produced in the Singaporean industrial environment?,13 - Climate Action,"The research addresses the aviation sector's reliance on fossil fuels and explores synthetic aviation fuel as a means to reduce carbon emissions, aligning with the goal of combating climate change.",Singapore,Local,Energy & Climate,"Synthetic Aviation Fuel, Singapore Airlines, CO reduction, hydrogen-based fuel, supply chain management","Qualitative Empirical Research, Quantitative Empirical Research","Life cycle analysis, Supply Chain Management Framework",Supply Chain Management Framework,,Singapore Airlines,Singapore,1.357107,103.819499,City,,bijkerk_2025.pdf,bijkerk_2025.png,Matched,Singapore,1.357107,103.819499
Negative emissions in a future energy system: the role of biofuel and biochemical technologies,Immanuel Duijts,2025.0,,Martin Junginger,Gert Jan Kramer,"This research encompasses the use of mixed methods to answer the research questions, as both quantitative and qualitative methods were used. First, a quantitative assessment of residual and negative emissions in the baseline ADAPT and TRANSFORM scenarios was done. Then interviews and a workshop were organized to obtain qualitative data on biomass technology development. The study found that the pathways to negative emissions of current modelling studies are not robust, with non-technological obstacles being the dominant limitation to scale-up. Major concerns include biomass availability, financing, and policy uncertainty.",,,,Netherlands,,,,Mixed Methods Research,"Quantitative assessment, Interviews, Workshop, Literature review, OPERA model runs",,TNO,,Netherlands,52.243498,5.634323,Country,"Missing Research Question, Missing SDG, Abstract too short",duijts_2025.pdf,duijts_2025.png,Matched,Netherlands,52.243498,5.634323
COLONIALITY IN CONSERVATION: Politicising the Ecology of the Utrecht University Botanic Gardens,Sam Dolores Witman,2025.0,,Dr. Tatiana Acevedo Guerrero,Dr. Abbie Yunita,"In the context of rapid global biodiversity loss, botanic gardens have adopted a novel governance role to safeguard biodiversity, while recent calls for decolonisation have urged academic institutions to address their colonial heritage. This thesis explores the severed relationship between environmentalism and anticolonialism through a case study of the Utrecht University Botanic Gardens (UBG). Using in-depth interviews, participatory observations, and document analysis, the research found that environmental problems are depoliticised in the UBG, while they challenge some parts of the modernist worldview. These findings contribute to the discussion on the relationship between ecology and decoloniality in a Dutch context.",,,,,,,,Qualitative Empirical Research,"In-depth interviews, Participant observation, Document analysis","Political Ecology, Decolonial theory",,Utrecht University Botanic Gardens,Utrecht,52.0907006,5.1215634,City,"Missing Research Question, Missing SDG, Abstract too short",witman_2025.pdf,witman_2025.png,Matched,,,
Recasting the Stage: A Dramaturgical Exploration of Science-Policy Interfaces in PFAS Regulation,Annaflavia Tarullo,2025.0,"Politics, Ecology and Society",Prof. Dr. Maarten Hajer,Dr. James Patterson,"Regulatory shortcomings in addressing industrial pollution are closely tied to the structural vulnerabilities of science-policy interfaces (SPIs), which are also susceptible to ‘capture’ by industry interests and lobby groups. In response, new forms of claim-making are emerging, whereby non-constitutional “stages” have become vital platforms for constructing meaning, challenging existing power relations, and prefiguring alternative realities. Such developments can be understood and interpreted through a dramaturgical lens, which highlights the performative and discursive strategies actors use to shape public understandings of and political responses to environmental conflicts. Using a dramaturgical framework, this study investigates emerging staging practices and interactions within the regulation of PFAS contamination linked to the chemical company DuPont – now Chemours – in Dordrecht, the Netherlands. The central research question asks: How are shifts in the dramaturgy of contemporary science-policy interfaces, particularly in the roles of various actors, shaping novel meaning-making processes around industrial pollution? Drawing on 17 interviews with key actors and a document and media analysis, the research reveals that the mediatization of SPIs is fundamentally reshaping how authority is constructed and contested.","How are shifts in the dramaturgy of contemporary science-policy interfaces, particularly in the roles of various actors, shaping novel meaning-making processes around industrial pollution?",12 - Responsible Consumption and Production,This SDG applies as the research addresses the regulation of industrial pollution and the need for sustainable practices in managing chemical contaminants.,"Dordrecht, Netherlands",Local,Governance & Policy,"Environmental regulation, science-policy interfaces, PFAS, dramaturgy, discourse, mediated politics, authoritative governance, politics of claim-making, Chemours, DuPont",Qualitative Empirical Research,"Interviews, Document analysis, Media analysis",,,"Chemours, DuPont",Dordrecht,51.768955,4.686789,City,,tarullo_2025.pdf,tarullo_2025.png,Matched,Netherlands,51.768955,4.686789
What is nature worth? Quantifying the economic impacts of climate-induced ecosystem damages using the MIMOSA model,Emma Klement,2025.0,Environmental Change and Ecosystems,Kaj-Ivar van der Wijst,Anna van der Kaaden,"This thesis investigates the economic impacts of climate-induced damages to ecosystems using the MIMOSA model. The aim is to quantify these impacts to better inform policy and decision-making. A literature review, interviews, and MIMOSA integration were employed as methodologies. The findings reveal significant economic losses associated with ecosystem damages due to climate change, highlighting the need for effective valuation frameworks and integrated assessment models.",What are the economic impacts of climate-induced ecosystem damages as quantified by the MIMOSA model?,13 - Climate Action,"This research addresses the economic implications of climate change on ecosystems, directly contributing to understanding and mitigating climate impacts.",Global,Global/International,Ecology & Biodiversity,"MIMOSA, ecosystem valuation, Climate Change, economic impacts, Integrated Assessment Models","Literature-Based Research, Qualitative Empirical Research","Literature review, Interviews, MIMOSA integration",Integrated Assessment Models,,,,,,Broad,Abstract too short,klement_2025.pdf,klement_2025.png,Matched,Global,,
Scenario-Based Assessment of End-of-Life Reuse and Recycling Strategies for Steel and Concrete in Residential and Commercial Buildings: Impacts on CO₂ Emissions and Energy Use,Fatemeh Salimiyan,2025.0,,"Dr. Oreane Edelenbosch, Dr. Marianne Zanon Zotin",,"The construction and demolition sector are a significant contributor to global CO₂ emissions and energy consumption, largely due to the widespread use of carbon-intensive materials such as steel and concrete. This study assesses the long-term environmental impacts of four EOL strategies for steel and concrete in residential and commercial buildings across 26 global regions between 2005 and 2060. EOL Material Flow Modeling is employed to simulate material recovery, while CO₂ emissions and energy consumption are estimated using region-specific data. The results indicate that the combined strategy achieves the most substantial reductions in emissions and energy demand, highlighting the critical role of integrated reuse and recycling strategies in promoting circular construction practices.",,,,Global,Global/International,Circular Economy & Production,,Mixed Methods Research,EOL Material Flow Modeling,,,,,,,Broad,"Missing Research Question, Missing SDG",salimiyan_2025.pdf,salimiyan_2025.png,Matched (content),Global,,
Linear optimisation of the portfolio of generators in a district heating network,Yavor Yavorov Razboinikov,2025.0,,Javanshir Fouladvand,Wen Liu,"This work explores to what extent renewable energy technologies in a district heating network could reduce air pollution and greenhouse gas emissions while maintaining minimal costs. The neighbourhood of Orlandovtsi in Sofia, Bulgaria, is used as a case study for this research. A linear programming optimisation was developed, to determine the optimal installed capacities and hourly outputs across five scenarios. The integration of renewable technologies significantly enhanced all performance metrics. The best-performing scenario reduced PM2.5-equivalent emissions by more than 90% and GHG emissions by 45% compared to the current status quo while maintaining significantly lower prices.",,,,"Sofia, Bulgaria",Local,Energy & Climate,"Sofia, district heating network, linear optimisation, air pollution, renewable energy technology",Mixed Methods Research,Linear programming optimisation,,,,Sofia,42.697703,23.321736,City,"Missing Research Question, Missing SDG, Abstract too short",razboinikov_2025.pdf,razboinikov_2025.png,Matched,Bulgaria,42.697703,23.321736
TOXIC ENTANGLEMENTS AND EMANCIPATORY RESISTANCE IN MARTINIQUE’S CHLORDECONE CRISIS,"Mlle. Fwaiz Aupoix, S. (Séréna)",2025.0,"Politics, Ecology and Society",Dr. Acevedo-Guerrero,Dr. Yunita,"Chlordecone, a toxic pesticide introduced in the 1970s in Martinique, has led to severe contamination and health impacts, including rising prostate cancer rates. This thesis investigates the socio-ecological crisis surrounding Chlordecone, emphasizing its colonial and capitalist entanglements. Using feminist and decolonial ethnographic methods, the research combines multimodal document analysis, artworks, semi-structured interviews, and participant observation. Findings reveal the crisis's deep connections to historical systems of extraction and highlight emergent practices of resistance, such as Créole gardens, which foster cultural resurgence and food self-sufficiency. The study contributes to broader justice struggles and advocates for further research on contamination and agency in Martinique.",,,,Martinique,Local,Ecology & Biodiversity,,Qualitative Empirical Research,"Multimodal Document Analysis, Semi-structured interviews, Participatory Observation","Decolonial Ecology, Ecofeminism, Emancipatory Ecologies",,,Martinique,14.611373,-60.962078,Country,"Missing Research Question, Missing SDG",s_2025.pdf,s_2025.png,Matched,France,14.611373,-60.962078
"Exploring differential Urban Heat Vulnerability - A Case Study of Overvecht, the Netherlands",Colin Kramer,2025.0,Earth Systems Governance,Dries Hegger,Peter Driessen,"As climate change is expected to enhance the frequency and severity of heatwaves, urban populations will increasingly deal with risks of heat stress. This thesis research explores how urban heat vulnerability can potentially differ among socio-demographic groups in Overvecht, the Netherlands. The research utilised an integrative vulnerability framework including exposure, sensitivity, coping capacity, and adaptive capacity as core components of heat risk. The study employed a mixed-method approach, including a literature review and a survey to collect primary data. The results suggest that heat vulnerability in Overvecht is unequally distributed among various socio-demographic groups, highlighting the need for equitable heat adaptation strategies.","How does urban heat vulnerability differ among socio-demographic groups in Overvecht, the Netherlands?",,,"Overvecht, Netherlands",Local,Urban & Regional Development,,Mixed Methods Research,"Literature review, Survey",,,,Overvecht,52.120541,5.109637,City,Missing SDG,kramer_2025.pdf,kramer_2025.png,Matched,Netherlands,52.120541,5.109637
Comparative assessment of bio-based oils for asphalt binder applications - An Environmental Cost Indicator approach,Jacqueline Duerden,2025.0,Energy & Materials,"Dr. Ric Hoefnagels, Gerald Daniel",Prof. dr. Martin Junginger,"Bitumen, a by-product from the crude oil refining process, is currently usually used as binder in asphalt. The Netherlands, however, has the goal to reduce the use of fossil resources. In addition, due to the climate agreements, the amount of oil refineries are expected to decline leading to a decrease in the availability of fossil bitumen. Therefore, it is important that alternative options for asphalt binders are explored. Bio-based oils can be applied as asphalt binder and can reduce the use of fossil resources. The aim of this research is to determine the environmental impacts of the production of various bio-based oils for asphalt binder applications in the Netherlands and to compare these to each other and fossil bitumen. The results indicated that it is unadvisable to use seed oils from primary feedstocks for asphalt binder as the environmental impact was found to be larger than that of fossil bitumen.",,,,Netherlands,,,,Literature-Based Research,Life Cycle Analysis,Environmental Cost Indicator,,,Netherlands,52.243498,5.634323,Country,"Missing Research Question, Missing SDG",duerden_2025.pdf,duerden_2025.png,Matched,Netherlands,52.243498,5.634323
Future shifts in global precipitation sources for drying and wetting regions in multiple Earth System Models,C. Lokkart,2025.0,,A. Staal,G.B. Koren,"Future shifts in global precipitation patterns, driven by climate change, have critical implications for ecosystems, agriculture, and water resources. This study explores changes in terrestrial moisture recycling across multiple climate scenarios and models, focusing on regions experiencing significant increases or decreases in precipitation. Using the Lagrangian moisture tracking model UTrack, we analyzed changes in precipitation source regions across four Shared Socioeconomic Pathways and two future periods. Results reveal a consistent decline in moisture recycling efficiency with rising temperatures, indicating that drying regions face a self-reinforcing feedback. This study provides the first global-scale, multi-model analysis of future changes in terrestrial precipitation sources, posing new challenges for regional climate adaptation and water management.",,,,Global,Global/International,Ecology & Biodiversity,,Mixed Methods Research,Lagrangian moisture tracking model UTrack,,,,,,,Broad,"Missing Research Question, Missing SDG",lokkart_2025.pdf,lokkart_2025.png,Matched (content),Global,,
Water availability and quality using satellite remote sensing in Bardia National Park (Nepal),Gijs Vellekoop,2025.0,,Jasper Griffioen,Pita Verweij,"The availability of water is under increasing pressure in the lowland Terrai of Nepal having detrimental effects on both human and nature. This study aimed to monitor water availability and quality before and after the 2024 monsoon season on a weekly basis by leveraging high-resolution Planetscope Earth observation imagery. The study area is located in the west of Bardia National Park in the lowland Terrai of Nepal. Specifically, the artificial water holes alongside the eastern border of the Geruwa River were analyzed. Consequently, a random forest machine learning algorithm was utilized to classify the Earth observation imagery. The multi-index random forest model demonstrated near-flawless accuracy on the training data but applicability for a broader range of water hole sites over time was limited.",Can water availability and turbidity of small-scale artificial water holes in Bardia National Park (Nepal) be monitored on a weekly basis using remote sensing?,6 - Clean Water and Sanitation,"This study addresses the critical issue of water availability and quality in Bardia National Park, which is essential for both human and ecological health.","Bardia National Park, Nepal",Local,Ecology & Biodiversity,"water monitoring, remote sensing, random forest, supervised classifier, Bardia National Park (Nepal)",Mixed Methods Research,"Random Forest Classification, Earth Observation Data Analysis",,,,Bardia National Park,28.208294,83.988834,Broad,,vellekoop_2025.pdf,vellekoop_2025.png,Matched,Nepal,28.208294,83.988834
